"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5594","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","8","1","1","8.575356","0","23"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","1","1","10.067092","0","31"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","1","1","10.220346","0","55"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","13","3","1","12.727002","0","98"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","8","2","1","7.989056","0","41"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","73","1","1","59.872402","0","2709"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","111","1","1","87.591103","0","6188"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","73","1","1","62.345409","0","2545"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","13","1","1","12.025659","0","97"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","33","1","1","30.943851","0","593"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","19","1","1","19.246141","0","208"
"/Engine/VREditor/TransformGizmo/Main.Main","0","13","1","1","11.834314","0","103"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","13","1","1","11.606055","0","92"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","47","8","1","25.338755","0","675"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","108","2","1","135.465958","0","2939"
"/Game/Material/M_Blue.M_Blue","0","19","1","1","18.208611","0","158"
"/Game/Material/M_Red.M_Red","0","19","1","1","18.894564","0","89"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","93","5","1","109.579552","0","1481"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","93","1","1","111.148056","0","1241"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","93","1","1","111.881065","0","1530"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","38","1","1","38.634388","0","303"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","13","1","1","11.644322","0","85"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","10","1","1","12.352828","0","43"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","90","3","2","80.750496","0","1283"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","16","1","1","14.893657","0","126"
"/ControlRig/M_Manip.M_Manip","0","16","1","1","14.376268","0","96"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","8","1","1","8.176140","0","31"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","10","1","1","9.128609","0","50"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","111","1","1","90.121742","0","2423"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","61","1","1","313.806793","0","770"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","22","1","1","19.430853","0","182"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","141","1","1","131.560043","0","3504"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","225","6","1","216.335007","0","7603"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1374","1","1","1191.275146","0","131012"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","1","1","32.878613","0","337"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","85","12","6","79.161285","0","449"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","10","1","1","8.449684","0","47"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","10","1","1","8.491391","0","55"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","47","1","1","25.570978","0","615"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","1","1","86.524414","0","891"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","100","1","1","140.841904","0","1478"
